"","X","...1","Kingdom","Phylum","Class","Order","Family","GENUS","Species","primary_lifestyle","Secondary_lifestyle","Decay_type_template","Specific_hosts","Fruitbody_type_template","Ectomycorrhiza_exploration_type_template","Ectomycorrhiza_lineage_template"
"1","sp1",1,"Fungi","Basidiomycota","Agaricomycetes","Boletales","Pisolithaceae","Pisolithus","arhizus","ectomycorrhizal",NA,NA,NA,"gasteroid","long-distance","/pisolithus-scleroderma"
"2","sp2",2,"Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Thelephora","terrestris","ectomycorrhizal",NA,NA,NA,"clavarioid","medium-distance_smooth","/tomentella-thelephora"
"3","sp3",3,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Dactylonectria","macrodidyma","plant_pathogen",NA,NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"4","sp4",4,"Fungi","Ascomycota","Pezizomycetes","Pezizales","Tuberaceae","Tuber","mexiusanum","ectomycorrhizal",NA,NA,NA,"gasteroid-hypogeous","short-distance_delicate","/tuber-helvella"
"5","sp5",5,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria",NA,"ectomycorrhizal",NA,NA,NA,"agaricoid","short-distance_delicate","/laccaria"
"6","sp6",6,"Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Hydnoplicata",NA,"ectomycorrhizal",NA,NA,NA,"gasteroid-hypogeous","short-distance_coarse","/terfezia-peziza_depressa"
"7","sp7",7,"Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Auriculariales_fam_Incertae_sedis","Oliveonia",NA,"wood_saprotroph",NA,NA,NA,"corticioid",NA,NA
"8","sp8",8,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hymenogastraceae","Hebeloma","crustuliniforme","ectomycorrhizal",NA,NA,NA,"agaricoid","short-distance_delicate","/hebeloma-alnicola"
"9","sp9",9,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Marasmiaceae","Lactocollybia",NA,"litter_saprotroph",NA,NA,NA,"agaricoid",NA,NA
"10","sp10",10,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hymenogastraceae","Hebeloma","crustuliniforme","ectomycorrhizal",NA,NA,NA,"agaricoid","short-distance_delicate","/hebeloma-alnicola"
"11","sp11",11,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Cephalothecaceae","Phialemonium","inflatum","animal_parasite","animal_decomposer",NA,NA,"none",NA,NA
"12","sp12",12,"Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","ellisii","ectomycorrhizal",NA,NA,NA,"corticioid","medium-distance_smooth","/tomentella-thelephora"
"13","sp15",15,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA,"unspecified_saprotroph","foliar_endophyte","mold",NA,NA,NA,NA
